"Unique ID";"Date Taken (America/New_York)";"Time Taken (America/New_York)";"Time Spent";"Q1 - Which Title Best Fits your Current Role?";"Q2 - Did you switch careers into Data?";"Q3 - Current Yearly Salary (in USD)";"Q4 - What Industry do you work in?";"Q5 - Favorite Programming Language";"Q6 - Happiness with your Current Position Salary";"Q6 - Happiness with Current Position Work/Life Balance";"Q6 - Happiness with Current Position Coworkers";"Q6 - Happiness with Current Position Management";"Q6 - Happiness with Current Position Upward Mobility";"Q6 - Happiness with Current Position Learning New Things";"Q7 - How difficult was it for you to break into Data?";"Q8 - Most important thing in a new job today";"Q9 - Male/Female?";"Q10 - Current Age";"Q11 - Which Country do you live in?";"Q12 - Highest Level of Education";"Q13 - Ethnicity"
"62a33cf30a77c1a77f65baa2";"2022-06-10";"08:45:00";"00:02:31";"Data Analyst";"Yes";"0-40k";"Other";"Python";3;8;10;10;7;8;"Neither easy nor difficult";"Better Salary";"Male";32;"Other";"non";"White or Caucasian"
"62a33d15f408bae018ed370d";"2022-06-10";"08:46:00";"00:03:20";"Data Analyst";"Yes";"0-40k";"Tech";"R";1;10;9;9;5;10;"Neither easy nor difficult";"Better Salary";"Male";34;"Other";"non";"Hispanic or Latino"
"62a33d1ebae91e4b8b82e707";"2022-06-10";"08:46:00";"00:00:55";"Data Scientist";"Yes";"0-40k";"Education";"Python";3;10;10;6;7;8;"Easy";"Good Work/Life Balance";"Male";30;"United Kingdom";"non";"White or Caucasian"
"62a33d4624a26260273824c4";"2022-06-10";"08:47:00";"00:01:24";"Data Analyst";"No";"41k-65k";"Construction";"R";4;5;5;5;4;5;"Neither easy nor difficult";"Good Culture";"Male";31;"United States";"non";"White or Caucasian"
"62a33d5c0f8c8599d5af107c";"2022-06-10";"08:47:00";"00:00:47";"Data Analyst";"Yes";"41k-65k";"Finance";"Python";4;10;7;7;7;5;"Difficult";"Good Culture";"Male";29;"United States";"non";"White or Caucasian"
"62a33d850f8c8599d5af10cb";"2022-06-10";"08:48:00";"00:01:06";"Data Analyst";"Yes";"0-40k";"Tech";"Python";1;2;4;2;2;2;"Neither easy nor difficult";"Better Salary";"Male";22;"Other";"non";"Black or African American"
"62a33d9bf8f7561645852496";"2022-06-10";"08:48:00";"00:01:04";"Student/Looking/None";"Yes";"0-40k";"Other";"Python";1;3;2;2;4;1;"Difficult";"Better Salary";"Male";23;"United States";"non";"Black or African American"
"62a33dbdd8c00e9f5419cd65";"2022-06-10";"08:49:00";"00:01:05";"Student/Looking/None";"No";"41k-65k";"Tech";"R";7;8;8;6;8;3;"Very Difficult";"Better Salary";"Female";26;"Canada";"non";"Asian or Asian American"
"62a33de124a26260273826b2";"2022-06-10";"08:49:00";"00:01:21";"Data Analyst";"No";"0-40k";"Other";"Python";1;1;1;1;2;0;"Very Difficult";"Better Salary";"Male";28;"Other";"non";"Black or African American"
"62a33dedd8c00e9f5419ce2b";"2022-06-10";"08:49:00";"00:01:23";"Data Analyst";"Yes";"41k-65k";"Finance";"Python";5;5;5;5;5;5;"Easy";"Remote Work";"Male";29;"Other";"non";"Black or African American"
"62a33dfbd8c00e9f5419ceda";"2022-06-10";"08:50:00";"00:01:35";"Data Analyst";"Yes";"106k-125k";"Tech";"SQL";10;5;10;6;10;10;"Neither easy nor difficult";"Remote Work";"Female";31;"United States";"non";"White or Caucasian"
"62a33e38f3072dd8926221d3";"2022-06-10";"08:51:00";"00:01:25";"Data Analyst";"Yes";"0-40k";"Healthcare";"Python";5;6;8;8;7;1;"Neither easy nor difficult";"Remote Work";"Male";28;"Other";"non";"White or Caucasian"
"62a33e54d8c00e9f5419cfe9";"2022-06-10";"08:51:00";"00:01:47";"Data Analyst";"No";"0-40k";"Finance";"Python";4;4;4;4;4;4;"Neither easy nor difficult";"Better Salary";"Male";32;"Other";"non";"Hispanic or Latino"
"62a33e62575fa3a5ae88aabf";"2022-06-10";"08:51:00";"00:02:14";"Data Analyst";"No";"0-40k";"Tech";"Python";7;8;8;8;3;8;"Easy";"Better Salary";"Male";24;"Other";"non";"Black or African American"
"62a33e63cec54911e9ca4f99";"2022-06-10";"08:51:00";"00:02:21";"Data Analyst";"No";"0-40k";"Tech";"Python";4;6;6;6;7;7;"Easy";"Good Work/Life Balance";"Male";31;"India";"non";"Asian or Asian American"
"62a33e72bae91e4b8b82ea1a";"2022-06-10";"08:52:00";"00:02:07";"Data Analyst";"No";"66k-85k";"Other";"SQL";7;10;5;5;5;2;"Difficult";"Other";"Male";23;"United States";"non";"White or Caucasian"
"62a33e890f8c8599d5af13b9";"2022-06-10";"08:52:00";"00:01:20";"Data Analyst";"Yes";"106k-125k";"Other";"Python";1;6;9;1;0;2;"Difficult";"Remote Work";"Female";33;"United States";"non";"Asian or Asian American"
"62a33e8bf8d5efcc22f7c79a";"2022-06-10";"08:52:00";"00:01:34";"Data Analyst";"No";"86k-105k";"Healthcare";"Other";6;7;7;7;7;4;"Very Easy";"Better Salary";"Male";43;"United States";"non";"White or Caucasian"
"62a33e90cec54911e9ca5031";"2022-06-10";"08:52:00";"00:01:34";"Student/Looking/None";"Yes";"0-40k";"Other";"R";0;0;5;0;0;0;"Very Difficult";"Remote Work";"Female";23;"Other";"non";"Black or African American"
"62a33e9df8f756164585277b";"2022-06-10";"08:52:00";"00:01:47";"Student/Looking/None";"Yes";"41k-65k";"Finance";"Python";10;7;10;10;5;3;"Very Difficult";"Good Work/Life Balance";"Male";31;"United States";"non";"Black or African American"
"62a33eb6bc6861bf3176c5a3";"2022-06-10";"08:53:00";"00:01:38";"Data Analyst";"Yes";"66k-85k";"Finance";"Python";5;6;7;5;4;4;"Neither easy nor difficult";"Other";"Male";31;"United Kingdom";"non";"White or Caucasian"
"62a33ee0bae91e4b8b82eaec";"2022-06-10";"08:53:00";"00:03:30";"Data Analyst";"Yes";"0-40k";"Other";"Python";8;7;8;7;7;7;"Difficult";"Good Work/Life Balance";"Male";25;"India";"non";"Asian or Asian American"
"62a33ee80f8c8599d5af14b7";"2022-06-10";"08:54:00";"00:01:37";"Data Engineer";"No";"125k-150k";"Tech";"SQL";8;10;10;9;9;9;"Easy";"Better Salary";"Male";43;"United States";"non";"White or Caucasian"
"62a33efe0a77c1a77f65bf1e";"2022-06-10";"08:54:00";"00:02:08";"Data Analyst";"No";"41k-65k";"Finance";"Python";2;3;5;5;5;5;"Difficult";"Better Salary";"Female";26;"Canada";"non";"Other"
"62a33f0ef408bae018ed3aeb";"2022-06-10";"08:54:00";"00:03:54";"Data Analyst";"No";"41k-65k";"Other";"Python";5;10;8;8;8;7;"Neither easy nor difficult";"Remote Work";"Male";32;"Other";"non";"White or Caucasian"
"62a33f17f8f7561645852867";"2022-06-10";"08:54:00";"00:02:28";"Business Intelligence";"No";"0-40k";"Tech";"Python";2;9;7;7;5;6;"Difficult";"Better Salary";"Male";31;"Other";"non";"White or Caucasian"
"62a33f52bc6861bf3176c72c";"2022-06-10";"08:55:00";"00:01:33";"Data Analyst";"Yes";"86k-105k";"Healthcare";"SQL";3;5;6;4;4;5;"Neither easy nor difficult";"Better Salary";"Male";29;"United States";"non";"White or Caucasian"
"62a33f56cf255543173005e9";"2022-06-10";"08:55:00";"00:00:56";"Data Analyst";"Yes";"0-40k";"Other";"Python";3;1;3;2;3;1;"Neither easy nor difficult";"Good Culture";"Male";24;"Other";"non";"Hispanic or Latino"
"62a33f5a5d257a28a30d7bb5";"2022-06-10";"08:55:00";"00:02:38";"Student/Looking/None";"Yes";"41k-65k";"Construction";"Python";2;0;2;2;0;0;"Very Difficult";"Remote Work";"Male";34;"United States";"non";"White or Caucasian"
"62a33fa5cec54911e9ca51f1";"2022-06-10";"08:57:00";"00:01:52";"Data Analyst";"Yes";"41k-65k";"Other";"none";5;6;6;5;4;6;"Very Difficult";"Better Salary";"Male";42;"Other";"non";"Indian"
"62a33fcb575fa3a5ae88ad59";"2022-06-10";"08:57:00";"00:02:03";"Student/Looking/None";"Yes";"0-40k";"Other";"JavaScript";0;0;0;0;0;0;"Difficult";"Remote Work";"Female";40;"United States";"non";"Asian or Asian American"
"62a33fcf18134ddc75ce91c3";"2022-06-10";"08:57:00";"00:02:32";"Student/Looking/None";"No";"41k-65k";"Telecommunication";"Python";3;1;3;4;0;3;"Easy";"Good Work/Life Balance";"Male";43;"Other";"non";"White or Caucasian"
"62a34006d8c00e9f5419d341";"2022-06-10";"08:58:00";"00:02:39";"Student/Looking/None";"Yes";"0-40k";"Construction";"Python";0;0;0;0;0;0;"Very Difficult";"Better Salary";"Male";23;"Other";"non";"Black or African American"
"62a34020575fa3a5ae88ade0";"2022-06-10";"08:59:00";"00:01:11";"Student/Looking/None";"Yes";"0-40k";"Education";"Python";5;5;3;5;2;6;"Difficult";"Better Salary";"Male";23;"Other";"non";"Asian or Asian American"
"62a34038b4da29969c62eafe";"2022-06-10";"08:59:00";"00:03:55";"Data Analyst";"Yes";"86k-105k";"Other";"Python";8;6;2;3;6;7;"Neither easy nor difficult";"Other";"Male";28;"United States";"non";"White or Caucasian"
"62a3406b575fa3a5ae88ae78";"2022-06-10";"09:00:00";"00:01:25";"Data Analyst";"No";"66k-85k";"Finance";"SQL";5;7;1;1;0;8;"Neither easy nor difficult";"Better Salary";"Male";32;"United States";"non";"White or Caucasian"
"62a340cab4da29969c62ec01";"2022-06-10";"09:02:00";"00:02:47";"Data Analyst";"Yes";"66k-85k";"Other";"R";7;8;10;8;9;9;"Difficult";"Remote Work";"Female";41;"United States";"non";"White or Caucasian"
"62a340d62e54c9003e5324b4";"2022-06-10";"09:02:00";"00:00:56";"Data Analyst";"Yes";"41k-65k";"Finance";"Python";5;6;6;6;6;6;"Neither easy nor difficult";"Remote Work";"Male";33;"United Kingdom";"High School";"White or Caucasian"
"62a340e10a77c1a77f65c2e7";"2022-06-10";"09:02:00";"00:01:57";"Business Intelligence";"Yes";"150k-225k";"Tech";"Python";10;8;9;8;8;10;"Easy";"Good Work/Life Balance";"Male";38;"United States";"non";"Hispanic or Latino"
"62a340f5bc6861bf3176caa4";"2022-06-10";"09:02:00";"00:02:32";"Data Analyst";"No";"0-40k";"Tech";"SQL";8;8;8;8;5;10;"Easy";"Better Salary";"Female";22;"India";"non";"Indian"
"62a34117cec54911e9ca54e7";"2022-06-10";"09:03:00";"00:01:59";"Student/Looking/None";"Yes";"0-40k";"Student";"R";1;3;6;6;6;9;"Difficult";"Remote Work";"Male";36;"Other";"Bachelors";"Black or African American"
"62a3413a5d257a28a30d8074";"2022-06-10";"09:03:00";"00:01:18";"Data Engineer";"No";"66k-85k";"Finance";"Python";2;1;1;1;3;7;"Easy";"Remote Work";"Female";28;"United States";"Masters";"Asian or Asian American"
"62a341b0f8f7561645852d1d";"2022-06-10";"09:05:00";"00:01:44";"Data Analyst";"Yes";"66k-85k";"Tech";"Python";6;6;6;6;5;6;"Difficult";"Other";"Female";24;"United States";"Bachelors";"Hispanic or Latino"
"62a341e8f8d5efcc22f7d002";"2022-06-10";"09:06:00";"00:01:58";"Data Analyst";"No";"41k-65k";"Other";"C/C++";3;6;7;7;0;3;"Very Difficult";"Better Salary";"Male";29;"United States";"Bachelors";"White or Caucasian"
"62a34210cf25554317300c02";"2022-06-10";"09:07:00";"00:02:15";"Data Analyst";"No";"0-40k";"Tech";"Python";4;9;10;9;9;10;"Easy";"Better Salary";"Male";29;"Other";"Associates";"Hispanic or Latino"
"62a3424eb4da29969c62eedd";"2022-06-10";"09:08:00";"00:02:04";"Data Analyst";"Yes";"41k-65k";"Other";"Python";6;8;8;7;9;7;"Neither easy nor difficult";"Good Work/Life Balance";"Male";38;"Other";"Masters";"White or Caucasian"
"62a34256bae91e4b8b82f16d";"2022-06-10";"09:08:00";"00:01:46";"Data Analyst";"Yes";"0-40k";"Finance";"none";3;5;4;3;3;3;"Difficult";"Good Work/Life Balance";"Male";31;"Other";"Masters";"White or Caucasian"
"62a3426cf408bae018ed409b";"2022-06-10";"09:09:00";"00:01:33";"Student/Looking/None";"No";"0-40k";"Tech";"Python";1;4;5;5;1;1;"Difficult";"Better Salary";"Male";25;"United States";"Masters";"White or Caucasian"
"62a34272f8d5efcc22f7d15f";"2022-06-10";"09:09:00";"00:01:09";"Data Analyst";"No";"66k-85k";"Telecommunication";"Python";4;6;4;5;4;4;"Neither easy nor difficult";"Better Salary";"Male";24;"United States";"Masters";"White or Caucasian"
"62a34340bc6861bf3176d05b";"2022-06-10";"09:12:00";"00:04:03";"Business Intelligence";"Yes";"41k-65k";"Tech";"Python";6;7;4;3;9;8;"Difficult";"Better Salary";"Male";28;"Other";"Bachelors";"White or Caucasian"
"62a34383b4da29969c62f1be";"2022-06-10";"09:13:00";"00:01:03";"Student/Looking/None";"No";"0-40k";"Tech";"Python";7;5;8;0;0;0;"Neither easy nor difficult";"Good Culture";"Female";23;"India";"Bachelors";"Asian or Asian American"
"62a34389cec54911e9ca5a22";"2022-06-10";"09:13:00";"00:01:01";"Data Engineer";"No";"0-40k";"Tech";"R";2;3;2;5;5;7;"Neither easy nor difficult";"Remote Work";"Male";21;"Other";"Masters";"Hispanic or Latino"
"62a343a22e54c9003e532a2a";"2022-06-10";"09:14:00";"00:02:43";"Data Analyst";"No";"0-40k";"Other";"Python";4;4;4;4;5;6;"Neither easy nor difficult";"Remote Work";"Male";29;"Other";"Bachelors";"Other"
"62a343d9f3072dd892622fe4";"2022-06-10";"09:15:00";"00:03:15";"Data Analyst";"Yes";"41k-65k";"Tech";"Python";5;6;7;7;7;6;"Difficult";"Better Salary";"Male";25;"United States";"Bachelors";"Asian or Asian American"
"62a34400d8c00e9f5419dc2b";"2022-06-10";"09:15:00";"00:01:24";"Data Analyst";"No";"41k-65k";"Tech";"Python";6;6;6;6;3;5;"Difficult";"Good Culture";"Male";27;"Other";"Masters";"Black or African American"
"62a34425f8d5efcc22f7d525";"2022-06-10";"09:16:00";"00:01:28";"Data Analyst";"Yes";"41k-65k";"Tech";"Python";3;9;10;8;9;9;"Easy";"Better Salary";"Male";23;"India";"Bachelors";"Asian or Asian American"
"62a34449575fa3a5ae88b637";"2022-06-10";"09:16:00";"00:02:36";"Data Analyst";"No";"86k-105k";"Other";"R";4;3;3;5;5;5;"Difficult";"Better Salary";"Male";32;"United States";"Masters";"Asian or Asian American"
"62a3445dcf255543173011e1";"2022-06-10";"09:17:00";"00:02:41";"Student/Looking/None";"Yes";"106k-125k";"Healthcare";"Python";5;5;7;5;7;7;"Neither easy nor difficult";"Remote Work";"Male";22;"India";"Bachelors";"Asian or Asian American"
"62a3447a575fa3a5ae88b6c0";"2022-06-10";"09:17:00";"00:04:14";"Data Analyst";"No";"0-40k";"Tech";"Python";2;9;9;8;6;2;"Easy";"Better Salary";"Male";25;"Other";"Bachelors";"Asian or Asian American"
"62a3449f7dc029e2d66bf5d1";"2022-06-10";"09:18:00";"00:01:15";"Data Analyst";"Yes";"0-40k";"Telecommunication";"Python";2;8;6;6;5;5;"Neither easy nor difficult";"Remote Work";"Female";36;"Other";"Masters";"White or Caucasian"
"62a344c5f408bae018ed4806";"2022-06-10";"09:19:00";"00:02:21";"Data Analyst";"Yes";"106k-125k";"Tech";"SQL";10;6;9;5;8;7;"Easy";"Good Work/Life Balance";"Female";27;"United States";"Bachelors";"White or Caucasian"
"62a344c6f8d5efcc22f7d6e1";"2022-06-10";"09:19:00";"00:02:17";"Data Analyst";"Yes";"0-40k";"Tech";"Python";5;5;5;5;5;1;"Neither easy nor difficult";"Other";"Male";23;"India";"Bachelors";"Asian or Asian American"
"62a344e1f3072dd892623328";"2022-06-10";"09:19:00";"00:01:32";"Student/Looking/None";"Yes";"0-40k";"Tech";"SQL";2;3;3;3;3;6;"Very Difficult";"Better Salary";"Male";26;"Other";"Bachelors";"Black or African American"
"62a3450424a262602738357f";"2022-06-10";"09:20:00";"00:01:19";"Data Analyst";"No";"86k-105k";"Healthcare";"Python";9;10;10;10;10;10;"Very Easy";"Good Work/Life Balance";"Female";33;"United States";"PhD";"Hispanic or Latino"
"62a3452818134ddc75ce9e1b";"2022-06-10";"09:20:00";"00:01:33";"Data Analyst";"Yes";"106k-125k";"Other";"Python";3;5;3;3;5;5;"Easy";"Better Salary";"Male";27;"Other";"Masters";"White or Caucasian"
"62a345490a77c1a77f65cc5b";"2022-06-10";"09:21:00";"00:01:38";"Data Analyst";"Yes";"41k-65k";"Education";"R";3;6;5;4;3;4;"Neither easy nor difficult";"Better Salary";"Male";42;"United States";"Associates";"White or Caucasian"
"62a3455bbc6861bf3176d57a";"2022-06-10";"09:21:00";"00:02:36";"Data Analyst";"Yes";"0-40k";"Tech";"Python";6;7;8;7;7;8;"Easy";"Good Work/Life Balance";"Male";29;"Other";"Masters";"White or Caucasian"
"62a3457bf8d5efcc22f7da17";"2022-06-10";"09:22:00";"00:01:08";"Data Analyst";"No";"125k-150k";"Tech";"Python";4;7;6;4;2;4;"Easy";"Better Salary";"Female";27;"United States";"Masters";"Asian or Asian American"
"62a345b2bae91e4b8b82fad6";"2022-06-10";"09:22:00";"00:01:41";"Student/Looking/None";"No";"41k-65k";"Healthcare";"Python";0;10;10;10;4;2;"Neither easy nor difficult";"Remote Work";"Female";39;"United States";"Bachelors";"Hispanic or Latino"
"62a345c47dc029e2d66bf80a";"2022-06-10";"09:23:00";"00:01:36";"Data Analyst";"Yes";"41k-65k";"Telecommunication";"Python";6;6;7;5;6;7;"Difficult";"Good Culture";"Male";31;"Other";"Masters";"White or Caucasian"
"62a345e25d257a28a30d8b43";"2022-06-10";"09:23:00";"00:03:09";"Data Analyst";"Yes";"66k-85k";"Other";"Python";7;7;5;9;7;8;"Easy";"Good Work/Life Balance";"Male";29;"Other";"Bachelors";"Hispanic or Latino"
"62a34646f8d5efcc22f7dc5c";"2022-06-10";"09:25:00";"00:01:22";"Data Analyst";"Yes";"66k-85k";"Education";"R";7;7;7;7;4;7;"Easy";"Remote Work";"Male";31;"United States";"Masters";"White or Caucasian"
"62a34687f408bae018ed4c52";"2022-06-10";"09:26:00";"00:01:30";"Data Analyst";"Yes";"0-40k";"Finance";"Python";10;9;9;10;9;10;"Neither easy nor difficult";"Good Culture";"Male";30;"Other";"Masters";"Hispanic or Latino"
"62a346a37dc029e2d66bfa6d";"2022-06-10";"09:26:00";"00:03:05";"Data Engineer";"Yes";"0-40k";"Tech";"Python";7;8;6;5;5;9;"Difficult";"Better Salary";"Male";33;"Other";"Masters";"Hispanic or Latino"
"62a346a95d257a28a30d8cb9";"2022-06-10";"09:27:00";"00:00:58";"Data Analyst";"No";"66k-85k";"Other";"Python";7;8;9;7;7;7;"Neither easy nor difficult";"Better Salary";"Male";25;"United States";"Bachelors";"White or Caucasian"
"62a346b4bc6861bf3176d7ce";"2022-06-10";"09:27:00";"00:01:09";"Student/Looking/None";"No";"0-40k";"Tech";"R";0;0;0;0;0;0;"Neither easy nor difficult";"Good Work/Life Balance";"Male";23;"India";"Bachelors";"Indian"
"62a346cef8f756164585385b";"2022-06-10";"09:27:00";"00:01:51";"Data Analyst";"Yes";"41k-65k";"Other";"none";4;4;3;3;5;6;"Very Difficult";"Better Salary";"Male";33;"United States";"Bachelors";"Asian or Asian American"
"62a346d724a2626027383abd";"2022-06-10";"09:27:00";"00:02:29";"Data Analyst";"Yes";"66k-85k";"Other";"Python";7;9;9;8;8;9;"Neither easy nor difficult";"Good Work/Life Balance";"Male";35;"Other";"Bachelors";"Hispanic or Latino"
"62a34726f8d5efcc22f7dec7";"2022-06-10";"09:29:00";"00:01:14";"Data Analyst";"No";"66k-85k";"Tech";"Python";3;4;2;1;0;4;"Neither easy nor difficult";"Better Salary";"Male";25;"United States";"Bachelors";"White or Caucasian"
"62a3476c5d257a28a30d8e6d";"2022-06-10";"09:30:00";"00:03:00";"Data Analyst";"No";"86k-105k";"Other";"Python";5;4;5;4;3;6;"Neither easy nor difficult";"Other";"Male";23;"United States";"Bachelors";"White or Caucasian"
"62a347b4f8f7561645853a98";"2022-06-10";"09:31:00";"00:02:02";"Manager";"No";"41k-65k";"Healthcare";"JavaScript";2;4;6;5;3;4;"Easy";"Better Salary";"Female";51;"United States";"Bachelors";"Black or African American"
"62a347f6b4da29969c62fb79";"2022-06-10";"09:32:00";"00:01:45";"Data Analyst";"No";"0-40k";"Telecommunication";"Other";1;4;4;3;2;6;"Very Difficult";"Better Salary";"Male";30;"United Kingdom";"Bachelors";"Black or African American"
"62a3483018134ddc75cea4e6";"2022-06-10";"09:33:00";"00:01:41";"Data Analyst";"Yes";"41k-65k";"Finance";"Python";8;9;9;9;9;8;"Very Difficult";"Better Salary";"Male";23;"India";"Bachelors";"Asian or Asian American"
"62a348650f8c8599d5af2b77";"2022-06-10";"09:34:00";"00:01:06";"Data Analyst";"Yes";"41k-65k";"Other";"R";3;5;5;6;3;4;"Neither easy nor difficult";"Better Salary";"Male";24;"Canada";"Bachelors";"Asian or Asian American"
"62a3489318134ddc75cea659";"2022-06-10";"09:35:00";"00:01:06";"Student/Looking/None";"Yes";"41k-65k";"Tech";"Python";6;6;6;6;6;6;"Easy";"Good Culture";"Male";25;"Other";"Masters";"Asian or Asian American"
"62a348bf2e54c9003e533634";"2022-06-10";"09:35:00";"00:02:22";"Data Analyst";"Yes";"41k-65k";"Finance";"Python";4;4;6;4;5;6;"Difficult";"Better Salary";"Female";55;"United States";"Masters";"Other"
"62a348c2f3072dd892623c10";"2022-06-10";"09:36:00";"00:01:56";"Data Analyst";"No";"86k-105k";"Other";"R";8;10;8;7;8;10;"Very Easy";"Remote Work";"Female";30;"United States";"Masters";"White or Caucasian"
"62a348f2f8d5efcc22f7e2ba";"2022-06-10";"09:36:00";"00:01:10";"Data Analyst";"Yes";"41k-65k";"Other";"Python";9;9;9;9;7;4;"Difficult";"Better Salary";"Male";25;"Canada";"Bachelors";"Asian or Asian American"
"62a349160a77c1a77f65d4db";"2022-06-10";"09:37:00";"00:00:28";"Data Analyst";"Yes";"66k-85k";"Other";"Python";6;9;7;6;7;7;"Neither easy nor difficult";"Better Salary";"Male";28;"United States";"Masters";"White or Caucasian"
"62a3493fb4da29969c62fe63";"2022-06-10";"09:38:00";"00:02:22";"Data Analyst";"Yes";"41k-65k";"Other";"Python";8;8;9;9;10;10;"Very Easy";"Better Salary";"Male";34;"United Kingdom";"Bachelors";"White or Caucasian"
"62a3496e575fa3a5ae88c4e6";"2022-06-10";"09:38:00";"00:03:18";"Data Analyst";"Yes";"0-40k";"Tech";"Python";8;10;9;9;10;8;"Neither easy nor difficult";"Better Salary";"Female";28;"Other";"Bachelors";"Hispanic or Latino"
"62a3498e575fa3a5ae88c554";"2022-06-10";"09:39:00";"00:01:55";"Student/Looking/None";"No";"0-40k";"Other";"Other";7;9;7;8;8;10;"Neither easy nor difficult";"Better Salary";"Male";24;"Other";"Bachelors";"Asian or Asian American"
"62a34991b4da29969c62ff4b";"2022-06-10";"09:39:00";"00:01:15";"Student/Looking/None";"Yes";"0-40k";"Healthcare";"Python";3;7;7;7;1;2;"Difficult";"Better Salary";"Male";31;"United States";"Masters";"Black or African American"
"62a349bbf8f756164585400d";"2022-06-10";"09:40:00";"00:02:07";"Data Analyst";"Yes";"41k-65k";"Other";"SQL";3;6;6;6;4;4;"Easy";"Better Salary";"Male";25;"Canada";"Bachelors";"Asian or Asian American"
"62a349c7cec54911e9ca67c7";"2022-06-10";"09:40:00";"00:01:05";"Data Analyst";"Yes";"106k-125k";"Finance";"Python";5;1;4;3;3;4;"Easy";"Better Salary";"Female";38;"United States";"Bachelors";"White or Caucasian"
"62a349d5d8c00e9f5419ead2";"2022-06-10";"09:40:00";"00:01:32";"Data Analyst";"No";"41k-65k";"Finance";"Python";5;5;5;5;4;5;"Neither easy nor difficult";"Good Culture";"Male";30;"Other";"Bachelors";"Hispanic or Latino"
"62a349e6b4da29969c63000c";"2022-06-10";"09:40:00";"00:01:32";"Data Analyst";"Yes";"0-40k";"Tech";"C/C++";0;0;0;2;2;5;"Neither easy nor difficult";"Good Work/Life Balance";"Male";25;"India";"Bachelors";"Asian or Asian American"
"62a34a03cec54911e9ca6869";"2022-06-10";"09:41:00";"00:01:08";"Data Analyst";"Yes";"0-40k";"Tech";"Python";1;2;1;5;6;6;"Neither easy nor difficult";"Better Salary";"Female";29;"Other";"Bachelors";"Black or African American"
